feature,importance
num__avg_sku_count,0.3387845
num__avg_monthly_liters,0.23350461
num__total_liters,0.09324951
num__total_bill_value,0.05559491
num__max_bill_value,0.048007727
num__median_monthly_liters,0.047137056
num__p90_monthly_liters,0.03951174
num__avg_bill_value,0.030624898
num__max_monthly_liters,0.029645022
num__p75_monthly_liters,0.013555074
num__recent_3_month_avg_liters,0.012096348
num__Cooler_Count,0.010626481
num__recent_6_month_avg_liters,0.00411991
num__sales_cv,0.0036433828
num__Longitude,0.0035471644
cat__Outlet_Type_Grocery,0.0033322815
num__active_months,0.0032771835
num__avg_january_liters,0.0026911243
num__sales_std,0.002566098
cat__Outlet_Type_Bakry,0.002507169
num__max_sku_count,0.0024647159
cat__Distributor_ID_DIST_W_03,0.0021827333
num__Latitude,0.0020623822
num__max_january_liters,0.0019954236
cat__Distributor_ID_DIST_W_01,0.0019392666
cat__Outlet_Type_Kiosk,0.0019011904
cat__Distributor_ID_DIST_NW_01,0.0013657428
cat__Outlet_Type_Pharmacy,0.001255105
cat__Outlet_Type_SMMT,0.0012459743
cat__Outlet_Type_Bakery,0.0011905152
cat__Distributor_ID_DIST_W_02,0.001087736
cat__Outlet_Type_Grocry,0.0010776584
cat__Outlet_Type_Hotel,0.00081804383
cat__Distributor_ID_DIST_NW_02,0.0007499438
cat__Outlet_Type_Eatery,0.00064144895
cat__Outlet_Type_ Eatery ,0.0
num__distributor_count,0.0
num__total_unique_skus,0.0
cat__Distributor_ID_DIST_C_01,0.0
cat__Distributor_ID_DIST_C_02,0.0
cat__Distributor_ID_DIST_C_03,0.0
cat__Distributor_ID_DIST_S_01,0.0
cat__Distributor_ID_DIST_S_02,0.0
